,playerId,name,Rk,WS,Season,Age,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
53,1630547.0,James Bouknight,533.0,-0.4,2022-23,22.0,CHO,34.0,0.0,515.0,69.0,193.0,36.0,84.0,33.0,109.0,20.0,30.0,8.0,64.0,72.0,41.0,14.0,5.0,32.0,49.0,191.0,0.358,0.429,0.303,0.667,0.463,0.443,G
54,1631123.0,Jamaree Bouyea,478.0,0.0,2022-23,23.0,"MIA,WAS",5.0,0.0,71.0,6.0,14.0,4.0,8.0,2.0,6.0,1.0,2.0,1.0,5.0,6.0,4.0,4.0,2.0,4.0,6.0,15.0,0.429,0.5,0.333,0.5,0.504,0.5,G
55,1628396.0,Tony Bradley,430.0,0.2,2022-23,25.0,CHI,12.0,0.0,33.0,6.0,12.0,3.0,7.0,3.0,5.0,4.0,4.0,1.0,10.0,11.0,1.0,1.0,1.0,1.0,2.0,19.0,0.5,0.429,0.6,1.0,0.69,0.625,F-C
56,1631103.0,Malaki Branham,516.0,-0.1,2022-23,19.0,SAS,66.0,32.0,1550.0,269.0,611.0,192.0,356.0,77.0,255.0,58.0,70.0,28.0,153.0,181.0,127.0,33.0,7.0,76.0,115.0,673.0,0.44,0.539,0.302,0.829,0.524,0.503,G
57,1629714.0,Jarrell Brantley,438.0,0.1,2022-23,26.0,UTA,4.0,0.0,39.0,8.0,14.0,4.0,5.0,4.0,9.0,2.0,2.0,1.0,5.0,6.0,3.0,0.0,2.0,2.0,3.0,22.0,0.571,0.8,0.444,1.0,0.739,0.714,F
58,1631128.0,Christian Braun,235.0,1.9,2022-23,21.0,DEN,76.0,6.0,1181.0,143.0,289.0,109.0,193.0,34.0,96.0,40.0,64.0,48.0,133.0,181.0,59.0,41.0,17.0,35.0,101.0,360.0,0.495,0.565,0.354,0.625,0.568,0.554,G
59,1628969.0,Mikal Bridges,31.0,7.5,2022-23,26.0,"BRK,PHO",83.0,83.0,2963.0,593.0,1267.0,424.0,825.0,169.0,442.0,316.0,353.0,79.0,285.0,364.0,273.0,91.0,61.0,127.0,159.0,1671.0,0.468,0.514,0.382,0.895,0.587,0.535,F-G
60,1629052.0,Oshae Brissett,309.0,1.1,2022-23,24.0,IND,65.0,2.0,1083.0,123.0,319.0,75.0,164.0,48.0,155.0,104.0,145.0,62.0,156.0,218.0,44.0,33.0,13.0,34.0,79.0,398.0,0.386,0.457,0.31,0.717,0.52,0.461,F
61,1627763.0,Malcolm Brogdon,61.0,5.8,2022-23,30.0,BOS,67.0,0.0,1744.0,354.0,732.0,222.0,435.0,132.0,297.0,160.0,184.0,42.0,238.0,280.0,248.0,45.0,18.0,98.0,109.0,1000.0,0.484,0.51,0.444,0.87,0.615,0.574,G
62,1628415.0,Dillon Brooks,270.0,1.6,2022-23,27.0,MEM,73.0,73.0,2214.0,392.0,991.0,249.0,552.0,143.0,439.0,120.0,154.0,45.0,199.0,244.0,189.0,65.0,16.0,104.0,240.0,1047.0,0.396,0.451,0.326,0.779,0.494,0.468,F-G
63,1628971.0,Bruce Brown,109.0,4.3,2022-23,26.0,DEN,80.0,31.0,2280.0,358.0,741.0,267.0,487.0,91.0,254.0,116.0,153.0,63.0,265.0,328.0,268.0,87.0,51.0,123.0,190.0,923.0,0.483,0.548,0.358,0.758,0.571,0.545,G-F
64,1627759.0,Jaylen Brown,80.0,5.0,2022-23,26.0,BOS,67.0,67.0,2405.0,679.0,1383.0,516.0,896.0,163.0,487.0,263.0,344.0,78.0,381.0,459.0,232.0,75.0,26.0,197.0,172.0,1784.0,0.491,0.576,0.335,0.765,0.581,0.55,F-G
65,1631112.0,Kendall Brown,462.0,0.1,2022-23,19.0,IND,6.0,0.0,40.0,4.0,7.0,4.0,6.0,0.0,1.0,1.0,2.0,2.0,4.0,6.0,3.0,4.0,0.0,2.0,9.0,9.0,0.571,0.667,0.0,0.5,0.571,0.571,G-F
66,1629650.0,Moses Brown,311.0,1.1,2022-23,23.0,"BRK,LAC",36.0,1.0,294.0,61.0,96.0,61.0,96.0,0.0,0.0,33.0,72.0,57.0,82.0,139.0,4.0,4.0,14.0,15.0,39.0,155.0,0.635,0.635,,0.458,0.607,0.635,C
67,1628425.0,Sterling Brown,477.0,0.0,2022-23,27.0,LAL,4.0,0.0,24.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,5.0,8.0,2.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,G
68,1630535.0,Greg Brown III,521.0,-0.1,2022-23,21.0,POR,16.0,0.0,93.0,11.0,28.0,10.0,21.0,1.0,7.0,5.0,12.0,2.0,17.0,19.0,3.0,4.0,5.0,6.0,13.0,28.0,0.393,0.476,0.143,0.417,0.421,0.411,F
69,1628972.0,Troy Brown Jr.,163.0,2.9,2022-23,23.0,LAL,76.0,45.0,1860.0,200.0,465.0,93.0,184.0,107.0,281.0,34.0,39.0,62.0,246.0,308.0,95.0,59.0,16.0,49.0,120.0,541.0,0.43,0.505,0.381,0.872,0.561,0.545,G-F
